Gender,Incurred_Age_Bucket,Incurred_Year_Bucket,Claim_Type,Region,Diagnosis_Category,Claim_Duration,Exposure,Deaths,Recovery,Terminations,Benefit_Expiry,Others_Terminations
Male,Unknown,2011-2012,Other,Unknown,Unknown, 41,35,1,1,2,0,0
Male,Unknown,2001-2002,ALF,Unknown,Unknown, 84,28,1,0,1,0,0
Female,Unknown,2007-2008,Other,Unknown,Unknown, 64,19,0,0,0,0,0
Male,Unknown,Unknown,ALF,Unknown,Unknown,183,5,0,0,0,0,0
Male,Unknown, < 2001,Other,Unknown,Unknown,117,26,0,0,0,0,0
Male,Unknown,2001-2002,HCC,Unknown,Unknown, 21,69,0,0,1,0,1
Female,Unknown,2009-2010,Other,Unknown,Unknown, 22,40,1,0,1,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown,110,39,0,0,0,0,0
Male,Unknown,2015-2016,HCC,Unknown,Unknown,  4,53,1,1,2,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,158,18,0,0,0,0,0
Male,Unknown, < 2001,NH,Unknown,Unknown, 23,58,0,0,0,0,0
Female,Unknown,2003-2004,NH,Unknown,Unknown, 27,62,0,0,0,1,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 38,73,1,0,1,0,0
Female,Unknown,2009-2010,NH,Unknown,Unknown, 50,49,0,0,0,0,0
Male,Unknown,2001-2002,ALF,Unknown,Unknown, 57,35,0,0,0,0,0
Male,Unknown,Unknown,ALF,Unknown,Unknown,204,4,0,0,0,0,0
Female,Unknown,2001-2002,HCC,Unknown,Unknown,103,59,0,0,0,1,0
Male,Unknown,2005-2006,NH,Unknown,Unknown, 40,55,1,0,1,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,181,3,0,0,0,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 39,47,0,0,0,0,0
Female,Unknown,2009-2010,HCC,Unknown,Unknown, 93,45,1,0,2,0,1
Male,Unknown, < 2001,NH,Unknown,Unknown,  1,53,3,2,5,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown, 32,60,1,0,1,0,0
Male,Unknown,2009-2010,HCC,Unknown,Unknown, 14,61,1,1,2,0,0
Male,Unknown,2009-2010,ALF,Unknown,Unknown, 39,46,2,0,2,0,0
